ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
771,76,162,1504,968,325,54,157,561,1108,85,0.270406329,0.432937792,0.77413882,0.341201028
773,82,162,1407,931,275,27,174,585,1076,79,0.254845137,0.40898388,0.740710787,0.331726908
775,75,162,1400,899,301,20,180,502,1233,71,0.257684521,0.419841708,0.746695085,0.326853377
777,85,162,1518,967,294,41,216,626,1203,92,0.266924565,0.44698435,0.794008529,0.347024179
779,88,162,1465,968,298,38,161,564,1104,123,0.262733142,0.416427547,0.748690273,0.332262727
781,70,162,1556,1084,288,20,164,474,878,121,0.277361854,0.423529412,0.762832413,0.339303001
783,90,162,1586,1039,291,20,236,502,1056,93,0.280360615,0.464026869,0.806073411,0.342046541
785,95,162,1548,1011,294,40,203,430,1133,60,0.27437079,0.448599787,0.777382495,0.328782708
787,89,162,1539,1042,309,29,159,486,914,148,0.27438046,0.424852915,0.758778602,0.333925687
789,97,162,1608,1050,327,21,210,649,1053,139,0.284551407,0.461334277,0.824050365,0.362716088
791,78,162,1540,1060,266,42,172,404,974,106,0.271604938,0.424338624,0.749358867,0.325020243
793,80,162,1571,1008,357,23,183,505,1061,53,0.277610885,0.445838487,0.784181948,0.33834346
795,90,162,1350,853,286,40,171,532,1111,109,0.250092627,0.412930715,0.733691675,0.320760959
797,85,162,1530,1011,340,28,151,500,1054,86,0.271132376,0.421584264,0.754381691,0.332797428
799,71,162,1504,925,340,38,201,521,1332,105,0.267282744,0.448373911,0.784311411,0.3359375
801,82,162,1544,1104,276,35,129,511,864,137,0.275075717,0.40566542,0.742642912,0.336977492
803,88,162,1543,1045,294,27,177,549,981,200,0.27528992,0.432114184,0.774597427,0.342483243
805,68,162,1463,962,322,31,148,463,1135,68,0.262704256,0.41138445,0.735888837,0.324504387
807,78,162,1513,1080,279,13,141,506,909,56,0.273648038,0.405317417,0.742774686,0.337457268
809,69,162,1529,1051,306,30,142,500,939,144,0.271532587,0.412182561,0.745676537,0.333493976
811,72,162,1341,882,249,20,190,532,1149,78,0.246462047,0.404337438,0.721994204,0.317656766
813,88,162,1652,1073,352,50,177,474,1054,103,0.286955011,0.457703665,0.802302528,0.344598863
815,94,162,1578,1108,324,23,123,507,883,139,0.284119553,0.41717681,0.761808662,0.344631852
817,94,162,1656,1097,326,32,201,637,991,123,0.28966241,0.463354906,0.82891149,0.365556583
819,88,162,1629,1170,284,22,153,389,861,81,0.286593948,0.42505278,0.761894885,0.336842105
821,75,162,1460,947,298,36,179,503,1224,88,0.262826283,0.42610261,0.75407532,0.32797271
823,82,162,1355,831,318,47,159,587,1287,58,0.250508412,0.414864115,0.741900909,0.327036794
825,74,162,1351,871,269,24,187,560,1125,85,0.247209515,0.407868253,0.728502654,0.320634402
827,84,162,1455,1018,271,29,137,543,1032,126,0.264257174,0.398656012,0.731608703,0.332952692
829,89,162,1491,1007,274,38,172,619,1024,138,0.265965037,0.420442383,0.760851064,0.340408681
831,67,162,1454,966,314,21,153,474,1039,57,0.258351102,0.403162758,0.723027535,0.319864778
833,72,162,1452,1010,311,37,94,452,1044,108,0.261952012,0.382283962,0.702967385,0.320683424
835,95,162,1565,1006,353,33,173,646,1068,120,0.279664046,0.447283774,0.805143831,0.357860056
837,74,162,1529,995,293,41,200,572,1076,63,0.271051232,0.443892927,0.784315082,0.340422155
839,100,162,1486,1028,274,25,159,481,987,129,0.268231047,0.412815884,0.742556208,0.329740323
841,61,162,1498,1069,285,20,124,417,890,90,0.265461634,0.388977494,0.70705567,0.318078176
843,79,162,1619,1014,376,35,194,595,1207,81,0.282646648,0.462115922,0.81568735,0.353571429
845,70,162,1408,883,307,45,173,571,1298,102,0.253009883,0.417610063,0.742038772,0.324428709
847,78,162,1349,886,280,25,158,531,1129,96,0.246979129,0.394177957,0.711739974,0.317562017
849,87,162,1493,1013,296,25,159,568,1226,75,0.267946877,0.415649677,0.75592523,0.340275553
851,95,162,1511,1049,278,39,145,607,1068,116,0.270207439,0.411659514,0.757520598,0.345861085
853,70,162,1472,1033,295,49,95,526,928,122,0.269943151,0.394278379,0.729368988,0.33509061
855,75,162,1315,878,265,31,141,586,1182,82,0.242396313,0.380645161,0.701418425,0.320773263
857,91,162,1436,953,294,29,160,528,1041,75,0.262763038,0.415004575,0.747135131,0.332130556
859,64,162,1508,1022,307,19,160,517,1013,76,0.268422926,0.415272339,0.747105136,0.331832797
861,79,162,1410,960,246,20,184,534,1022,113,0.258099945,0.411495515,0.74045583,0.328960315
863,65,162,1432,961,276,51,144,457,1091,88,0.258857556,0.40527838,0.723767577,0.318489197
