ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
849,Mark Reynolds\reynoma01,0.4,2010,26,ARI,NL,145,596,499,79,99,17,2,32,85,83,7,211,9,0,5,8,7,4,0.198,0.32,0.433,0.753,*5/3H
850,Mark Rogers\rogerma01,0.0,2010,24,MIL,NL,4,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,/*1
854,Marlon Byrd\byrdma01,3.7,2010,32,CHC,NL,152,630,580,84,170,39,2,12,66,31,1,98,17,0,2,12,5,1,0.293,0.346,0.429,0.775,*8/HD
855,Martin Prado\pradoma01,4.9,2010,26,ATL,NL,140,651,599,100,184,40,3,15,66,40,2,86,3,3,6,13,5,3,0.307,0.35,0.459,0.809,*45/3
856,Mat Gamel\gamelma01,-0.1,2010,24,MIL,NL,12,17,15,1,3,1,0,0,1,1,0,8,1,0,0,1,0,0,0.2,0.294,0.267,0.561,/*H57
857,Mat Latos\latosma01,-0.1,2010,22,SDP,NL,31,63,54,3,6,2,0,1,3,0,0,29,0,9,0,1,0,0,0.111,0.111,0.204,0.315,*1
859,Matt Belisle\belisma01,0.2,2010,30,COL,NL,76,7,4,0,1,1,0,0,2,0,0,2,1,2,0,0,0,0,0.25,0.4,0.5,0.9,*1
860,Matt Cain\cainma01,-0.2,2010,25,SFG,NL,35,77,66,3,7,1,0,0,1,1,0,33,0,10,0,0,0,0,0.106,0.119,0.121,0.241,*1/H
863,Matt Chico\chicoma01,-0.1,2010,27,WSN,NL,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,/*1
864,Matt Daley\daleyma01,0.0,2010,28,COL,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
865,Matt Diaz\diazma02,0.6,2010,32,ATL,NL,84,244,224,27,56,17,2,7,31,13,3,44,4,2,1,6,3,1,0.25,0.302,0.438,0.739,*7H
866,Matt Downs\downsma01,0.6,2010,26,TOT,NL,40,109,97,8,21,7,0,1,7,9,0,20,2,0,1,1,0,0,0.216,0.294,0.32,0.613,*4H/65D
